function,method,dim,n_or_N,num_points,estimate,exact,abs_error,rel_error,time_sec,status
sum_of_squares,midpoint,1,64,64,0.33331298828125,0.3333333333333333,2.034505208331483e-05,6.103515624994449e-05,0.0005107000033603981,ok
sum_of_squares,midpoint,2,32,1024,0.66650390625,0.6666666666666666,0.00016276041666662966,0.0002441406249999445,0.00031450000824406743,ok
sum_of_squares,midpoint,3,16,4096,0.9990234375,1.0,0.0009765625,0.0009765625,0.0006599000043934211,ok
sum_of_squares,midpoint,5,8,32768,1.66015625,1.6666666666666665,0.006510416666666519,0.0039062499999999115,0.0030666000093333423,ok
sum_of_squares,midpoint,8,4,65536,2.625,2.6666666666666665,0.04166666666666652,0.015624999999999944,0.007635399990249425,ok
sum_of_squares,midpoint,10,4,1048576,3.28125,3.333333333333333,0.05208333333333304,0.015624999999999913,0.20096650000778027,ok
sum_of_squares,trapezoidal,1,64,65,0.3333740234375,0.3333333333333333,4.069010416668517e-05,0.0001220703125000555,0.00031770000350661576,ok
sum_of_squares,trapezoidal,2,32,1089,0.6669921875,0.6666666666666666,0.00032552083333337034,0.0004882812500000555,0.00029630000062752515,ok
sum_of_squares,trapezoidal,3,16,4913,1.001953125,1.0,0.001953125,0.001953125,0.0018311000021640211,ok
sum_of_squares,trapezoidal,5,8,59049,1.6796875,1.6666666666666665,0.013020833333333481,0.00781250000000009,0.009215300000505522,ok
sum_of_squares,trapezoidal,8,4,390625,2.75,2.6666666666666665,0.08333333333333348,0.031250000000000056,0.06539550000161398,ok
sum_of_squares,trapezoidal,10,4,9765625,,3.333333333333333,,,,skipped_too_many_tensor_points
sum_of_squares,simpson,1,64,65,0.3333333333333333,0.3333333333333333,0.0,0.0,0.00022850000823382288,ok
sum_of_squares,simpson,2,32,1089,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0002432999899610877,ok
sum_of_squares,simpson,3,16,4913,0.9999999999999998,1.0,2.220446049250313e-16,2.220446049250313e-16,0.0008754000009503216,ok
sum_of_squares,simpson,5,8,59049,1.666666666666666,1.6666666666666665,4.440892098500626e-16,2.664535259100376e-16,0.004723500009276904,ok
sum_of_squares,simpson,8,4,390625,2.666666666666665,2.6666666666666665,1.3322676295501878e-15,4.996003610813204e-16,0.060988800003542565,ok
sum_of_squares,simpson,10,4,9765625,,3.333333333333333,,,,skipped_too_many_tensor_points
sum_of_squares,gauss,1,64,64,0.33333333333333315,0.3333333333333333,1.6653345369377348e-16,4.996003610813204e-16,0.0018696999904932454,ok
sum_of_squares,gauss,2,32,1024,0.666666666666667,0.6666666666666666,3.3306690738754696e-16,4.996003610813204e-16,0.0010279000125592574,ok
sum_of_squares,gauss,3,16,4096,0.9999999999999996,1.0,4.440892098500626e-16,4.440892098500626e-16,0.0006655999895883724,ok
sum_of_squares,gauss,5,8,32768,1.6666666666666672,1.6666666666666665,6.661338147750939e-16,3.996802888650564e-16,0.0023179999989224598,ok
sum_of_squares,gauss,8,4,65536,2.666666666666667,2.6666666666666665,4.440892098500626e-16,1.6653345369377348e-16,0.010047000003396533,ok
sum_of_squares,gauss,10,4,1048576,3.333333333333343,3.333333333333333,9.769962616701378e-15,2.9309887850104135e-15,0.2407429000013508,ok
sum_of_squares,monte_carlo,1,50000,50000,0.33453484714598,0.3333333333333333,0.0012015138126466596,0.0036045414379399787,0.0010473000002093613,ok
sum_of_squares,monte_carlo,2,50000,50000,0.6619075369249907,0.6666666666666666,0.004759129741675916,0.007138694612513874,0.0013119000068400055,ok
sum_of_squares,monte_carlo,3,50000,50000,1.0013960621413531,1.0,0.0013960621413531271,0.0013960621413531271,0.0027280999929644167,ok
sum_of_squares,monte_carlo,5,50000,50000,1.6698313250983492,1.6666666666666665,0.0031646584316826765,0.001898795059009606,0.0037148000119486824,ok
sum_of_squares,monte_carlo,8,50000,50000,2.667380524486351,2.6666666666666665,0.0007138578196843604,0.00026769668238163513,0.00573160000203643,ok
sum_of_squares,monte_carlo,10,50000,50000,3.3352534818128885,3.333333333333333,0.0019201484795554613,0.0005760445438666384,0.0056391999969491735,ok
