function,method,n,eval_count,estimate,exact,abs_error,rel_error
steep_sigmoid,midpoint,4,4,0.6496719154514249,0.6299999999999982,0.019671915451426658,0.031225262621312245
steep_sigmoid,midpoint,8,8,0.6256819725021731,0.6299999999999982,0.004318027497825172,0.006854011901309816
steep_sigmoid,midpoint,16,16,0.6285875099293194,0.6299999999999982,0.0014124900706787846,0.0022420477312361724
steep_sigmoid,midpoint,32,32,0.6299506364953318,0.6299999999999982,4.9363504666444236e-05,7.835476931181647e-05
steep_sigmoid,midpoint,64,64,0.6299999802947489,0.6299999999999982,1.9705249321155804e-08,3.1278173525644225e-08
steep_sigmoid,midpoint,128,128,0.6300000000000007,0.6299999999999982,2.4424906541753444e-15,3.876969292341827e-15
steep_sigmoid,midpoint,256,256,0.6299999999999983,0.6299999999999982,1.1102230246251565e-16,1.7622587692462853e-16
steep_sigmoid,midpoint,512,512,0.6299999999999982,0.6299999999999982,0.0,0.0
steep_sigmoid,midpoint,1024,1024,0.6299999999999982,0.6299999999999982,0.0,0.0
steep_sigmoid,trapezoidal,4,5,0.6250093231481816,0.6299999999999982,0.0049906768518166444,0.00792170928859787
steep_sigmoid,trapezoidal,8,9,0.6373406192998033,0.6299999999999982,0.007340619299805118,0.011651776666357362
steep_sigmoid,trapezoidal,16,17,0.6315112959009882,0.6299999999999982,0.001511295900989973,0.0023988823825237733
steep_sigmoid,trapezoidal,32,33,0.6300494029151538,0.6299999999999982,4.940291515553863e-05,7.841732564371233e-05
steep_sigmoid,trapezoidal,64,65,0.6300000197052429,0.6299999999999982,1.97052446582191e-08,3.127816612415739e-08
steep_sigmoid,trapezoidal,128,129,0.6299999999999959,0.6299999999999982,2.3314683517128287e-15,3.700743415417199e-15
steep_sigmoid,trapezoidal,256,257,0.6299999999999982,0.6299999999999982,0.0,0.0
steep_sigmoid,trapezoidal,512,513,0.6299999999999982,0.6299999999999982,0.0,0.0
steep_sigmoid,trapezoidal,1024,1025,0.6299999999999985,0.6299999999999982,2.220446049250313e-16,3.5245175384925706e-16
steep_sigmoid,simpson,4,5,0.5833508361237139,0.6299999999999982,0.04664916387628437,0.07404629186711825
steep_sigmoid,simpson,8,9,0.6414510513503437,0.6299999999999982,0.01145105135034552,0.01817627198467548
steep_sigmoid,simpson,16,17,0.629568188101383,0.6299999999999982,0.00043181189861518643,0.0006854157120875995
steep_sigmoid,simpson,32,33,0.629562105253209,0.6299999999999982,0.0004378947467892358,0.0006950710266495826
steep_sigmoid,simpson,64,65,0.6299835586352724,0.6299999999999982,1.644136472578328e-05,2.60974043266402e-05
steep_sigmoid,simpson,128,129,0.6299999934315802,0.6299999999999982,6.568418031704937e-09,1.0426060367785643e-08
steep_sigmoid,simpson,256,257,0.629999999999999,0.6299999999999982,7.771561172376096e-16,1.2335811384723997e-15
steep_sigmoid,simpson,512,513,0.6299999999999983,0.6299999999999982,1.1102230246251565e-16,1.7622587692462853e-16
steep_sigmoid,simpson,1024,1025,0.6299999999999982,0.6299999999999982,0.0,0.0
steep_sigmoid,gauss,4,4,0.5127801757553178,0.6299999999999982,0.11721982424468047,0.1860632130867949
steep_sigmoid,gauss,8,8,0.6732440850220084,0.6299999999999982,0.04324408502201016,0.06864140479684172
steep_sigmoid,gauss,16,16,0.6216958847641554,0.6299999999999982,0.008304115235842846,0.013181135294988681
steep_sigmoid,gauss,32,32,0.6307788662421255,0.6299999999999982,0.0007788662421273074,0.0012362956224243008
steep_sigmoid,gauss,64,64,0.6299970179220427,0.6299999999999982,2.9820779555711496e-06,4.7334570723351716e-06
steep_sigmoid,gauss,128,128,0.6300000001327944,0.6299999999999982,1.3279621846606915e-10,2.107876483588405e-10
steep_sigmoid,gauss,256,256,0.6299999999999985,0.6299999999999982,2.220446049250313e-16,3.5245175384925706e-16
steep_sigmoid,gauss,512,512,0.6299999999999979,0.6299999999999982,3.3306690738754696e-16,5.286776307738855e-16
steep_sigmoid,gauss,1024,1024,0.6299999999999966,0.6299999999999982,1.6653345369377348e-15,2.643388153869428e-15
