function,exact,midpoint_abs_error,midpoint_estimate,trapezoidal_abs_error,trapezoidal_estimate,simpson_abs_error,simpson_estimate,gauss_abs_error,gauss_estimate,monte_carlo_abs_error,monte_carlo_estimate,monte_carlo_std,quasi_mc_abs_error,quasi_mc_estimate,quasi_mc_std,mcmc_abs_error,mcmc_estimate,mcmc_std,mcmc_accept_rate,mcmc_lag1_autocorr,mcmc_ess_lag1
sin,2.0,1.2549906098779928e-05,2.000012549906099,2.509976494757815e-05,1.9999749002350524,2.520024189323067e-10,2.0000000002520024,2.220446049250313e-16,1.9999999999999998,0.0005109620416390293,2.000510962041639,0.004373020265406806,7.904809779635258e-06,2.0000079048097796,,6.739305160952114e-05,1.9999326069483905,0.009527926235744017,0.8404738562091504,0.5740597640992607,13530.338326048857
sin10x,0.2,3.137807306205498e-05,0.20003137807306207,6.275319269138935e-05,0.19993724680730862,1.57569379766187e-08,0.200000015756938,2.248201624865942e-15,0.19999999999999776,0.0009883109331843831,0.2009883109331844,0.0048103212731558384,1.8315219239839475e-05,0.20001831521923985,,0.0005279582795097992,0.2005279582795098,0.0062588949977380095,0.8404738562091504,0.1795208346872125,34781.52667916099
gaussian_peak,0.1772453850902791,1.7208456881689926e-15,0.17724538509028082,3.552713678800501e-15,0.17724538509027554,5.551115123125783e-17,0.17724538509027904,1.1102230246251565e-16,0.1772453850902792,0.00036475838122496107,0.17761014347150406,0.0016382831816508776,1.584843367652411e-14,0.17724538509029494,,0.00017239223728043873,0.17741777732755953,0.002079869803841653,0.8404738562091504,0.2822056273707795,27991.549775854404
runge,0.5493603067780064,3.761957534376137e-07,0.5493606829737598,7.523976205403571e-07,0.5493595543803859,3.26023652519325e-11,0.549360306745404,2.220446049250313e-16,0.5493603067780066,0.0006016991032616881,0.5499620058812681,0.002979495723918581,2.790700899257814e-07,0.5493605858480963,,0.00030721528894095407,0.5496675220669474,0.004406371599181943,0.8404738562091504,0.368567798010823,23069.762039428562
step,0.5,0.0,0.5,0.001953125,0.501953125,0.0013020833333332593,0.5013020833333333,1.1102230246251565e-16,0.5000000000000001,5.6666666666704835e-05,0.5000566666666667,0.002456569423674681,0.0,0.5,,0.0001666666666666483,0.49983333333333335,0.0074288669639330585,0.8404738562091504,0.683056486126828,9416.122126310398
steep_sigmoid,0.6299999999999982,1.1102230246251565e-16,0.6299999999999983,0.0,0.6299999999999982,7.771561172376096e-16,0.629999999999999,2.220446049250313e-16,0.6299999999999985,0.000231585601517037,0.6302315856015153,0.002412795557842647,4.106693885552737e-05,0.6299589330611427,,0.0003432636174993675,0.6303432636174976,0.006905632925388535,0.8404738562091504,0.6998951177010627,8827.593097512397
