function,method,budget,n_or_N,eval_count,estimate,exact,abs_error,rel_error,std_estimate,accept_rate,lag1_autocorr,ess_lag1
sin,midpoint,1024,1024,1024,2.000000784365901,2.0,7.843659011186332e-07,3.921829505593166e-07,,,,
sin,trapezoidal,1024,1023,1024,1.9999984281999588,2.0,1.5718000412334732e-06,7.859000206167366e-07,,,,
sin,simpson,1024,1022,1023,2.0000000000009925,2.0,9.9253938401489e-13,4.96269692007445e-13,,,,
sin,gauss,1024,1024,1024,1.9999999999999754,2.0,2.4646951146678475e-14,1.2323475573339238e-14,,,,
sin,monte_carlo,1024,1024,1024,2.0003730899581535,2.0,0.0003730899581535496,0.0001865449790767748,0.029342611414130887,,,
sin,quasi_mc,1024,1024,1024,2.000003137460652,2.0,3.137460652169466e-06,1.568730326084733e-06,,,,
sin,mcmc,1024,1024,1024,1.994127696647234,2.0,0.005872303352765895,0.0029361516763829476,0.05946673952328927,0.8407608695652175,0.5624277870789464,287.22672065215033
sin10x,midpoint,1024,1024,1024,0.2000019609276729,0.2,1.9609276728782543e-06,9.804638364391272e-06,,,,
sin10x,trapezoidal,1024,1023,1024,0.19999607048507337,0.2,3.92951492664273e-06,1.964757463321365e-05,,,,
sin10x,simpson,1024,1022,1023,0.20000000006200772,0.2,6.200770452657878e-11,3.100385226328939e-10,,,,
sin10x,gauss,1024,1024,1024,0.19999999999999898,0.2,1.0269562977782698e-15,5.134781488891349e-15,,,,
sin10x,monte_carlo,1024,1024,1024,0.20627309886733777,0.2,0.006273098867337762,0.03136549433668881,0.03309258914006144,,,
sin10x,quasi_mc,1024,1024,1024,0.20000784352612264,0.2,7.843526122625066e-06,3.921763061312533e-05,,,,
sin10x,mcmc,1024,1024,1024,0.20999397811708334,0.2,0.00999397811708333,0.04996989058541665,0.04662118748702914,0.8407608695652175,0.17858570986998953,714.9027070051998
gaussian_peak,midpoint,1024,1024,1024,0.1772453850902792,0.1772453850902791,1.1102230246251565e-16,6.263762659093605e-16,,,,
gaussian_peak,trapezoidal,1024,1023,1024,0.17724538509027885,0.1772453850902791,2.498001805406602e-16,1.409346598296061e-15,,,,
gaussian_peak,simpson,1024,1022,1023,0.17724538509027912,0.1772453850902791,2.7755575615628914e-17,1.5659406647734013e-16,,,,
gaussian_peak,gauss,1024,1024,1024,0.17724538509027687,0.1772453850902791,2.220446049250313e-15,1.2527525318187209e-14,,,,
gaussian_peak,monte_carlo,1024,1024,1024,0.1770696486020097,0.1772453850902791,0.0001757364882694068,0.0009914869613101421,0.008103682684599366,,,
gaussian_peak,quasi_mc,1024,1024,1024,0.17724538509027954,0.1772453850902791,4.440892098500626e-16,2.505505063637442e-15,,,,
gaussian_peak,mcmc,1024,1024,1024,0.17723312146560433,0.1772453850902791,1.2263624674768714e-05,6.919009298054387e-05,0.012630421890193644,0.8407608695652175,0.2727597556749498,586.0085307016681
runge,midpoint,1024,1024,1024,0.5493603302906589,0.5493603067780064,2.3512652491675112e-08,4.2800057087445254e-08,,,,
runge,trapezoidal,1024,1023,1024,0.5493602596606965,0.5493603067780064,4.711730994255703e-08,8.576759070727125e-08,,,,
runge,simpson,1024,1022,1023,0.549360306777878,0.5493603067780064,1.284528039491306e-13,2.3382250658498653e-13,,,,
runge,gauss,1024,1024,1024,0.5493603067780004,0.5493603067780064,5.995204332975845e-15,1.091306426585071e-14,,,,
runge,monte_carlo,1024,1024,1024,0.548913934557073,0.5493603067780064,0.0004463722209333554,0.0008125308935247337,0.015539524161067304,,,
runge,quasi_mc,1024,1024,1024,0.5493604010250557,0.5493603067780064,9.424704927596395e-08,1.7155780662189103e-07,,,,
runge,mcmc,1024,1024,1024,0.5487245394333602,0.5493603067780064,0.0006357673446462098,0.0011572866419399318,0.025792643093932748,0.8407608695652175,0.3589134581058729,483.72484062657566
step,midpoint,1024,1024,1024,0.5,0.5,0.0,0.0,,,,
step,trapezoidal,1024,1023,1024,0.5,0.5,0.0,0.0,,,,
step,simpson,1024,1022,1023,0.5006523157208088,0.5,0.000652315720808816,0.001304631441617632,,,,
step,gauss,1024,1024,1024,0.5,0.5,0.0,0.0,,,,
step,monte_carlo,1024,1024,1024,0.49713541666666666,0.5,0.002864583333333337,0.005729166666666674,0.014543520949383422,,,
step,quasi_mc,1024,1024,1024,0.5,0.5,0.0,0.0,,,,
step,mcmc,1024,1024,1024,0.5024088541666667,0.5,0.0024088541666666963,0.0048177083333333925,0.04910196202110481,0.8407608695652175,0.6821050825961328,193.75045919247535
steep_sigmoid,midpoint,1024,1024,1024,0.6299999999999982,0.6299999999999982,0.0,0.0,,,,
steep_sigmoid,trapezoidal,1024,1023,1024,0.6299999999999983,0.6299999999999982,1.1102230246251565e-16,1.7622587692462853e-16,,,,
steep_sigmoid,simpson,1024,1022,1023,0.6299999999999983,0.6299999999999982,1.1102230246251565e-16,1.7622587692462853e-16,,,,
steep_sigmoid,gauss,1024,1024,1024,0.6299999999999966,0.6299999999999982,1.6653345369377348e-15,2.643388153869428e-15,,,,
steep_sigmoid,monte_carlo,1024,1024,1024,0.6286936502380355,0.6299999999999982,0.001306349761962755,0.002073571050734538,0.016197007111872178,,,
steep_sigmoid,quasi_mc,1024,1024,1024,0.6295117187499983,0.6299999999999982,0.000488281249999889,0.0007750496031744291,,,,
steep_sigmoid,mcmc,1024,1024,1024,0.632491069335644,0.6299999999999982,0.0024910693356458014,0.003954078310548902,0.0477774866069554,0.8407608695652175,0.6965430912654741,183.43075091675138
